ID;Bewerb;Teamname;Bildungseinrichtung;Tag-ID;Runden;Zeit;Meter;PictureUrl
1;Schule;Wish-F1-Team;HTBLuVA Mödling;4E7A9C3D12F;0;00:00,0;0;logo\WishF1Team.jpg
2;Schule;Piston Cup Champions;HTBLuVA Salzburg;5B8D6E2F47A;0;00:00,0;0;logo\PistonCupChampion.jpg
4;Schule;Schluckspechte;HTBLuVA Salzburg;9F8E7D6C5B4;0;00:00,0;0;logo\Schluckspechte.jpg
5;Schule;1;HTBLuVA Salzburg;3C2D4E5F6A7;0;00:00,0;0;logo\eins.jpg
6;Schule;Die Letzten;HTBLuVA Salzburg;7B6A8C9D0E1;0;00:00,0;0;logo\DieLetzten.jpg
7;FH;CrashCar;FH Joanneum;0F1E2D3C4B5;0;00:00,0;0;logo\CrashCar.png
8;FH;Britney Steers;FH Joanneum;6A5B4C3D2E1;0;00:00,0;0;logo\BritneySteers.jpg
9;FH;Jurassic Kart;FH Joanneum;8C7D6E5F4A3;0;00:00,0;0;logo\JurassicKart.jpg
10;FH;Running Gags;FH Joanneum;2B3C4D5E6F7;0;00:00,0;0;logo\runningGags.jpg
11;FH;Team Temp.-Drift;FH-Joanneum;9A8B7C6D5E4;0;00:00,0;0;logo\Temperaturdrift.jpeg
12;FH;Tunneleffekt;FH Joanneum;3F4E5D6C7B8;0;00:00,0;0;logo\Tunneleffekt.png
13;FH;Red Devil Lobster;FH Joanneum;1E2F3A4B5C6;0;00:00,0;0;logo\reddevillobster.png
