Station,ID,Teamname
Station 1,"c344e1aa
",Jurassic Kart
Station 1,"c344e1aa
",Britney Steers
Station 1,"13ecb9ab
",Britney Steers
Station 1,"13ecb9ab
",Britney Steers
Station 1,"13ecb9ab
",Jurassic Kart
Station 1,"13ecb9ab
",Britney Steers
Station 1,"13ecb9ab
",CrashCar
Station 1,"13ecb9ab
",Jurassic Kart
Station 1,"13ecb9ab
",Britney Steers
Station 1,"13ecb9ab
",Britney Steers
Station 1,"13ecb9ab
",Britney Steers
Station 1,"13ecb9ab
",Running Gags
Station 1,"13ecb9ab
",Jurassic Kart
Station 1,"13ecb9ab
",Britney Steers
Station 1,"13ecb9ab
",Jurassic Kart
Station 1,"13ecb9ab
",Jurassic Kart
