Station,ID,Teamname
Station 1,"13ecb9ab
",Britney Steers
Station 1,"44328b2e96f80
",Team Temp.-Drift
Station 1,,Team Temp.-Drift
Station 1,"44328b2e96f80
",Team Temp.-Drift
Station 1,"44328b2e96f80
",Team Temp.-Drift
Station 1,"44328b2e96f80
",Running Gags
Station 1,"44328b2e96f80
",Jurassic Kart
Station 1,"83eb710e
",Jurassic Kart
Station 1,"83eb710e
",Team Temp.-Drift
Station 1,"83eb710e
",Team Temp.-Drift
Station 1,"13ecb9ab
",Jurassic Kart
Station 1,"83eb710e
",Team Temp.-Drift
Station 1,"83eb710e
",Jurassic Kart
Station 1,"83eb710e
",Tunneleffekt
