Station,ID,Timestamp
1,start,"36253
"
2,start,"35923
"
3,start,"35314
"
1,73e048ab,"37444
"
2,73e048ab,"37595
"
3,73e048ab,"37542
"
3,Lichtschranke,"37702
"
1,73e048ab,"39103
"
1,ID nicht erkannt,"39295
"
2,73e048ab,"39393
"
3,73e048ab,"39463
"
3,ID nicht erkannt,"39549
"
1,73e048ab,"41105
"
1,ID nicht erkannt,"41214
"
2,ID nicht erkannt,"41368
"
2,73e048ab,"41394
"
3,ID nicht erkannt,"41365
"
3,73e048ab,"41394
"
3,Lichtschranke,"41554
"
1,73e048ab,"43226
"
1,ID nicht erkannt,"43255
"
2,73e048ab,"43464
"
2,ID nicht erkannt,"43579
"
3,73e048ab,"43641
"
3,ID nicht erkannt,"43779
"
1,73e048ab,"45245
"
1,ID nicht erkannt,"45380
"
2,73e048ab,"45437
"
2,ID nicht erkannt,"45684
"
1,73e048ab,"46377
"
2,73e048ab,"46528
"
