Station,ID,Timestamp
3,start,"15663
"
2,start,"16263
"
1,start,"16634
"
3,83eb710e,"17863
"
1,ID nicht erkannt,"17877
"
1,83eb710e,"17905
"
3,Lichtschranke,"18061
"
2,73e048ab,"18064
"
3,Lichtschranke,"19086
"
3,83eb710e,"19340
"
1,73e048ab,"19360
"
1,ID nicht erkannt,"19446
"
2,83eb710e,"19512
"
2,ID nicht erkannt,"19569
"
3,Lichtschranke,"20090
"
2,73e048ab,"20363
"
3,73e048ab,"20546
"
3,ID nicht erkannt,"20845
"
3,Lichtschranke,"21112
"
1,83eb710e,"21131
"
2,83eb710e,"21425
"
2,ID nicht erkannt,"21758
"
2,73e048ab,"22014
"
3,73e048ab,"22071
"
3,Lichtschranke,"22128
"
3,ID nicht erkannt,"22157
"
1,83eb710e,"22621
"
1,Lichtschranke,"22793
"
2,83eb710e,"23044
"
3,Lichtschranke,"23136
"
2,73e048ab,"23559
"
3,Lichtschranke,"24148
"
1,ID nicht erkannt,"24232
"
1,83eb710e,"24260
"
3,73e048ab,"24391
"
3,ID nicht erkannt,"24526
"
2,ID nicht erkannt,"24577
"
2,73e048ab,"24606
"
3,Lichtschranke,"25159
"
2,83eb710e,"25298
"
2,73e048ab,"26174
"
3,Lichtschranke,"26176
"
2,ID nicht erkannt,"26232
"
1,83eb710e,"26925
"
1,ID nicht erkannt,"27126
"
3,Lichtschranke,"27197
"
3,73e048ab,"27198
"
2,83eb710e,"27490
"
3,Lichtschranke,"28215
"
2,Lichtschranke,"28892
"
3,Lichtschranke,"29227
"
1,Lichtschranke,"30102
"
3,Lichtschranke,"30244
"
3,73e048ab,"30549
"
3,ID nicht erkannt,"30578
"
2,ID nicht erkannt,"30690
"
2,73e048ab,"30716
"
1,83eb710e,"31191
"
3,Lichtschranke,"31245
"
1,Lichtschranke,"31248
"
2,83eb710e,"31454
"
3,Lichtschranke,"32258
"
3,Lichtschranke,"33270
"
